"","Parameter","Type","Unit","Protocols","Description","Sources","Protocols count"
"11146","adas.collision.warning.event","boolean","","[9,13,14,33,250,413,552,608,850,865,919]","Collision warning event generated by Advanced driver-assistance system (ADAS)","{""9"":[""Command type CCE with Parameter ID 0xFE31"",""Command type CFF with Parameter ID 0xFE31""],""13"":[""Alarm bit 0xCC of Protocol Number 0x13"",""Alarm bit 0xCC of Protocol Number 0x16"",""Alarm bit 0xCC of Protocol Number 0x19"",""Alarm bit 0xCC of Protocol Number 0x26"",""Alarm bit 0xCC of Protocol Number 0x27"",""Alarm bit 0xCC of Protocol Number 0x36"",""Alarm bit 0xCC of Protocol Number 0x37"",""Alarm bit 0xCC of Protocol Number 0x38"",""Alarm bit 0xCC of Protocol Number 0x39"",""Alarm bit 0xCC of Protocol Number 0x95"",""Alarm bit 0xCC of Protocol Number 0xA3"",""Alarm bit 0xCC of Protocol Number 0xA4"",""Alarm bit 0xCC of Protocol Number 0xA5"",""Alarm bit 0xCC of Protocol Number 0xA9"",""Alarm type 0x01 of Extension ID 0x64 of Message ID 0x0200""],""14"":[""AVL ID 613""],""33"":[""Event ID 20 of Report GTDSS""],""250"":[""ST 19 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""ST 6 of ALARMTYPE 56 of ALARMTYPE of PARAMETER of OPERATION SENDALARMINFO of Payload type 0""],""413"":[""Alarm type 1 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 17 of Service Data Event Type 30 of Message Type 0x1051"",""Alarm type 21 of Service Data Event Type 30 of Message Type 0x1051""],""552"":[""Alarm/Event type 1 of Additional info ID 0x64""],""608"":[""Addition data Z"",""Report type 4 of Function RP""],""850"":[""Alarm/Event type 0xD1 of Additional info ID 0x64"",""Alarm/Event type 0xF1 of Additional info ID 0x64"",""Alarm/Event type 1 of Additional info ID 0x64""],""865"":[""Alarm/Event type 1 of Additional info ID 0x64""],""919"":[""Alarm/Event type 1 of Additional info ID 0x64""]}",11
"11147","accelerometer.calibrated.status","boolean","","[125,516,767]","Accelerometer calibration status","{""125"":[""ALT Report Alert ID 21""],""516"":[""iCAN_ID 20220""],""767"":[""Data type major 0x04""]}",3
"11148","battery.fault.status","boolean","","[13,125]","Battery fault status","{""13"":[""Protocol Number 0x98""],""125"":[""ALT Report Alert ID 13""]}",2
"11149","driving.status","boolean","","[20,416,442]","Driving status","{""20"":[""Module 30"",""Module 35"",""Module 63""],""442"":[""Device status code""]}",3
"11150","fuel.high.alarm","boolean","","[125]","Fuel high alarm","{""125"":[""ALT Report Alert ID 175"",""ALT Report Alert ID 88"",""ALT Report Alert ID 92""]}",1
"11151","fuel.low.alarm","boolean","","[9,125,245]","Fuel low alarm","{""9"":[""Command type AAA""],""125"":[""ALT Report Alert ID 174"",""ALT Report Alert ID 91""]}",3
"11152","fuel.sensor.status","boolean","","[24,125]","Fuel sensor event status","{""24"":[""Data field %FU""],""125"":[""ALT Report Alert ID 89"",""ALT Report Alert ID 90""]}",2
"11153","sensor.magnet.status","boolean","","[20,125]","Magnetic field detected by sensor","{""20"":[""Module 28""],""125"":[""ALT Report Alert ID 56"",""ALT Report Alert ID 57""]}",2
"11154","shock.event","boolean","","[16,33,309,767]","Vibration level corresponds to shock","{""16"":[""Tag 0x40""],""33"":[""Data ID 40""],""309"":[""Sensor ID 0x0098"",""Sensor ID 0x0099""],""767"":[""Data type major 0x05""]}",4
"11155","shock.value","number","g","[33,516,767]","The shock value when a shock event is detected","{""33"":[""Data ID 40"",""Report GTSHA""],""516"":[""iCAN_ID 20278""],""767"":[""Data type major 0x05""]}",3
"11156","manual.can.hex","string","","[5,14,120]","Indexed manual CAN parameter value in HEX representation","{""5"":[""Command ID 0x01 with IO ID 1201...1220"",""Command ID 0x44 with IO ID 1201...1220""],""14"":[""AVL ID 10216...10235"",""AVL ID 10298...10347"",""AVL ID 145...154"",""AVL ID 380...389""],""120"":[""Message Type 0x44""]}",3
"11157","upgrade.status.name","string","","[200,413,552,776,850,919]","Upgrade status","{""200"":[""Instruction type U6""],""413"":[""Message Type 0x1052""],""552"":[""Message ID 0x0108""],""776"":[""Message ID 0x0108""],""850"":[""Message ID 0x0108""],""919"":[""Message ID 0x0108""]}",6
"11158","upgrade.type","string","","[200,413,552,776,850,919]","Upgrade type","{""200"":[""Instruction type U5"",""Instruction type U6""],""413"":[""Message Type 0x1052""],""552"":[""Message ID 0x0108""],""776"":[""Message ID 0x0108""],""850"":[""Message ID 0x0108""],""919"":[""Message ID 0x0108""]}",6
"11159","can.parking.brake.status","boolean","","[14,16,120,245,413,423,557]","Parking break status from CAN","{""14"":[""AVL ID 1179""],""16"":[""Extended Tag 0x2756""],""120"":[""Message Type 0x62"",""Message Type 0x64""],""413"":[""Content Status bit12 of Message Type 0x1041""],""423"":[""Report RUV03""],""557"":[""$FMS8 message""]}",7
"11160","can.transmission.oil.level","number","percentage","[319]","Transmission oil level read from CAN","{""319"":[""Packet item number 107""]}",1
"11161","can.transmission.oil.temperature","number","celsius","[14,193,319,516]","Transmission oil temperature reaed from CAN","{""14"":[""AVL ID 1199""],""193"":[""PID 0x00B1""],""319"":[""Packet item number 108""],""516"":[""TGU-R ID 66""]}",4
"11162","obd.pids","string","","[125]","List of OBD PIDs supported","{""125"":[""OVD Report Header""]}",1
"11163","obd.standard.code","string","","[125,320,767]","OBD standard this vehicle conforms to","{""125"":[""OVD Report Header""],""767"":[""Data type major 0x03""]}",3
"11164","can.pto.run.time","number","seconds","[193,516,553,815]","Power Take-Off run time read from CAN","{""193"":[""PID 0x217F""],""516"":[""iCAN_ID 20272""],""553"":[""Packet head RPT""],""815"":[""Property totRunTmPTOActv""]}",4
"11165","sim.change.event","boolean","","[13,325]","SIM card is changed event","{""13"":[""Alarm bit 0x10 of Protocol Number 0x13"",""Alarm bit 0x10 of Protocol Number 0x16"",""Alarm bit 0x10 of Protocol Number 0x19"",""Alarm bit 0x10 of Protocol Number 0x26"",""Alarm bit 0x10 of Protocol Number 0x27"",""Alarm bit 0x10 of Protocol Number 0x36"",""Alarm bit 0x10 of Protocol Number 0x37"",""Alarm bit 0x10 of Protocol Number 0x38"",""Alarm bit 0x10 of Protocol Number 0x39"",""Alarm bit 0x10 of Protocol Number 0x95"",""Alarm bit 0x10 of Protocol Number 0xA3"",""Alarm bit 0x10 of Protocol Number 0xA4"",""Alarm bit 0x10 of Protocol Number 0xA5"",""Alarm bit 0x10 of Protocol Number 0xA9""],""325"":[""Protocol Number 0x19"",""Protocol Number 0x26"",""Protocol Number 0x27""]}",2
"11166","can.dtc.type","string","","[25]","Error types by status (confirmed, pending, permanent, history, mil) read from CAN
*confirmed* - Confirmed faults, Check Engine is on
*pending* - Pending faults, may disappear
*permanent* - Stored faults, only cleared after a successful test
*history* - Historical faults that have cleared but remain in memory
*mil* - Faults that trigger the Check Engine light (MIL - Malfunction Indicator Lamp)
","{""25"":[""Data Type 12 with Sub Data Type 4"",""Data Type 12 with Sub Data Type 5"",""Data Type 12 with Sub Data Type 6""]}",1
"11167","obd.dlc.pin.voltage","number","volts","[125]","OBD data link connector pin voltage","{}",1
"11168","wifi.band","string","","[33]","Range of radio frequencies used for wireless communication","{""33"":[""Report GTWFS""]}",1
"11169","wifi.ip.address","string","","[33]","IP address assigned to a device on a wireless network","{""33"":[""Report GTWFS""]}",1
"11170","can.dtc.present.status","boolean","","[125]","Active DTC presence state, read from CAN","{""125"":[""ALT Report Alert ID 83"",""ALT Report Alert ID 84""]}",1
"11171","gnss.jamming.state","number","","[14,33]","GNSS jamming state","{""14"":[""AVL ID 318""],""33"":[""Report GTDTT"",""Report GTGPJ""]}",2
"11172","driver.registration.status","boolean","","[5,552,776,850,919]","Driver registration status","{""5"":[""Command ID 0x01 with IO ID 630"",""Command ID 0x44 with IO ID 630""],""552"":[""Message ID 0x0702""],""776"":[""Message ID 0x0702""],""850"":[""Message ID 0x0702""],""919"":[""Message ID 0x0702""]}",5
"11173","can.vehicle.battery.charge.state","string","","[33,193,556,622,720,767]","Vehicle battery charge state description, detected from CAN","{""33"":[""Report GTCAN"",""Report GTCLT"",""Report GTECU"",""Report GTERI""],""193"":[""PID 0x22C1""],""556"":[""snapshotData.volvoGroupSnapshot.batteryPackChargingStatus"",""triggerType.volvoGroupTrigger.chargingStatusInfo.event""],""622"":[""status""],""720"":[""snapshotData.volvoGroupSnapshot.batteryPackChargingStatus"",""triggerType.volvoGroupTrigger.chargingStatusInfo.event""],""767"":[""Data type major 0x03""]}",6
"11174","can.eco.mode.enabled.status","boolean","","[557]","ECO mode enabled/disabled status","{""557"":[""$FMSEV1 message""]}",1
"11175","can.pto.state","number","","[13,16,120,309,516,557]","Power take-off state, read from CAN","{""13"":[""Message ID 0x0010""],""16"":[""Extended Tag 0x2AE0"",""Extended Tag 0x367C""],""120"":[""Message Type 0x62"",""Message Type 0x64""],""309"":[""Sensor ID 0x203B""],""516"":[""TGU-R ID 4""],""557"":[""$FMS1 message""]}",6
"11176","can.total.clutch.applications","number","","[557]","Total count clutch pedal applications, read from CAN","{""557"":[""$FMS4 message""]}",1
"11177","can.vehicle.battery.charge.remaining.time","number","minutes","[33,557]","Battery charging remaining time read from CAN","{""33"":[""Report GTCAN"",""Report GTCLT"",""Report GTERI""],""557"":[""$FMSEV1 message""]}",2
"11178","can.vehicle.battery.charging.cable.connected.status","boolean","","[557,622]","Vehicle battery charging cable connected/disconnected status, read from CAN","{""557"":[""$FMSEV1 message""],""622"":[""plugged_in""]}",2
"11179","can.vehicle.battery.current","number","amperes","[5,14,193,557,767]","Vehicle battery current, read from CAN","{""5"":[""Command ID 0x01 with IO ID 640"",""Command ID 0x01 with IO ID 937"",""Command ID 0x44 with IO ID 640"",""Command ID 0x44 with IO ID 937""],""14"":[""AVL ID 1113""],""193"":[""PID 0x22CA""],""557"":[""$FMSEV1 message""],""767"":[""Data type major 0x03""]}",5
"11180","can.vehicle.battery.remaining.range","number","km","[43,557]","Vehicle battery remaining range, read from CAN","{""43"":[""p725:Header/p725:Position/p725:RemainingRange""],""557"":[""$FMSEV1 message""]}",2
"11181","can.vehicle.battery.remaining.time","number","minutes","[557]","Vehicle battery remaining range, read from CAN","{""557"":[""$FMSEV1 message""]}",1
"11182","tacho.drive.recognize.status","boolean","","[14,557]","Tacho recognized vehicle drive","{""14"":[""AVL ID 183""],""557"":[""$FMS3 message""]}",2
"11183","tacho.driver.time.state","string","","[14,120,309,557]","Tacho driver time related states","{""14"":[""AVL ID 189...190""],""120"":[""Message Type 0x62"",""Message Type 0x64""],""309"":[""Sensor ID 0x500E""],""557"":[""$FMS3 message""]}",4
"11184","tacho.driver.time.state.enum","number","","[14,33,120,245,309,553,557]","Tacho driver time related states","{""14"":[""AVL ID 189...190""],""33"":[""Report GTCAN"",""Report GTCLT"",""Report GTERI"",""Report GTTTR""],""120"":[""Message Type 0x62"",""Message Type 0x64""],""309"":[""Sensor ID 0x500E""],""553"":[""Packet head RPT""],""557"":[""$FMS3 message""]}",7
"11185","tacho.driving.direction","number","","[245,309,553,557]","Tacho driving direction, 0 - forward, 1 - reverse, 2 - error, 3 - not available","{""309"":[""Sensor ID 0x500E""],""553"":[""Packet head RPT""],""557"":[""$FMS3 message""]}",4
"11186","tacho.handling.info.status","boolean","","[245,309,557]","Tachograp is handling information","{""309"":[""Sensor ID 0x500E""],""557"":[""$FMS3 message""]}",3
"11187","tacho.overspeed.status","boolean","","[33,245,309,553,557]","Tachograph overspeed status","{""33"":[""Report GTCAN"",""Report GTCLT"",""Report GTERI""],""309"":[""Sensor ID 0x500E""],""553"":[""Packet head RPT""],""557"":[""$FMS3 message""]}",5
"11188","can.cruise.control.mileage","number","km","[24]","Cruise control distance read from CAN","{""24"":[""Data field %JN""]}",1
"11190","position.media.latitude","number","","[14]","Latitude recorded by a media device. For example, a camera","{}",1
"11191","position.media.longitude","number","","[14]","Longitude recorded by a media device. For example, a camera","{}",1
"11192","can.vehicle.battery.charge.count","number","","[193]","Vehicle battery charging times, read from CAN","{""193"":[""PID 0x22C9""]}",1
"11193","can.vehicle.battery.charge.energy","number","kWh","[193]","Vehicle battery charging energy amount single time, read from CAN","{""193"":[""PID 0x22C7""]}",1
"11194","can.vehicle.battery.discharge.energy","number","kWh","[193]","Vehicle battery discharging energy single time, read from CAN","{""193"":[""PID 0x22C8""]}",1
"11195","can.vehicle.battery.insulation.resistance","number","kΩ","[193]","Battery insulation resistance, read from CAN","{""193"":[""PID 0x22C3""]}",1
"11196","can.vehicle.battery.total.charge.energy","number","kWh","[14,193]","Vehicle battery charged total energy, read from CAN","{""14"":[""AVL ID 1389""],""193"":[""PID 0x22E1""]}",2
"11197","tacho.driver.card.data.available.status","boolean","","[5,14]","Tacho Driver card data availability","{""5"":[""Command ID 0x01 with IO ID 870"",""Command ID 0x44 with IO ID 870""],""14"":[""AVL ID 10538""]}",2
"11198","tacho.driver.compensation.before.last.week.duration","number","seconds","[5,14,553]","Tacho Driver open compensation in week before last","{""5"":[""Command ID 0x01 with IO ID 868"",""Command ID 0x44 with IO ID 868""],""14"":[""AVL ID 10536""],""553"":[""Packet head RPT""]}",3
"11199","tacho.driver.compensation.last.week.duration","number","seconds","[5,14,553]","Tacho Driver open compensation in the last week","{""5"":[""Command ID 0x01 with IO ID 867"",""Command ID 0x44 with IO ID 867""],""14"":[""AVL ID 10535""],""553"":[""Packet head RPT""]}",3
"11200","tacho.driver.compensation.second.before.last.week.duration","number","seconds","[5,14,553]","Tacho Driver open compensation in 2nd week before last","{""5"":[""Command ID 0x01 with IO ID 869"",""Command ID 0x44 with IO ID 869""],""14"":[""AVL ID 10537""],""553"":[""Packet head RPT""]}",3
"11201","tacho.driver.daily.limit.exceed.number","number","","[5,14,553]","Tacho Driver number of times 9h daily driving time exceeds","{""5"":[""Command ID 0x01 with IO ID 1147"",""Command ID 0x44 with IO ID 1147""],""14"":[""AVL ID 10510""],""553"":[""Packet head RPT""]}",3
"11202","tacho.driver.multi.manning.status","boolean","","[5,14]","Tacho Driver multi-manning detection status","{""5"":[""Command ID 0x01 with IO ID 870"",""Command ID 0x44 with IO ID 870""],""14"":[""AVL ID 10538""]}",2
"11203","tacho.driver.next.daily.rest.duration","number","seconds","[5]","Tacho duration of next daily rest period for the driver","{""5"":[""Command ID 0x01 with IO ID 874"",""Command ID 0x44 with IO ID 874""]}",1
"11204","tacho.driver.next.weekly.rest.duration","number","seconds","[5]","Tacho duration of next weekly rest period for the driver","{""5"":[""Command ID 0x01 with IO ID 875"",""Command ID 0x44 with IO ID 875""]}",1
"11205","tacho.driver.remaining.current.rest.duration","number","seconds","[5,14,553]","Tacho Driver remaining time of current break/rest","{""5"":[""Command ID 0x01 with IO ID 865"",""Command ID 0x44 with IO ID 865""],""14"":[""AVL ID 10539""],""553"":[""Packet head RPT""]}",3
"11206","tacho.driver.remaining.reduced.daily.rest.periods","number","","[5,14,553]","Tacho Driver remaining reduced daily rest periods. Range 0 to 3","{""5"":[""Command ID 0x01 with IO ID 870"",""Command ID 0x44 with IO ID 870""],""14"":[""AVL ID 10538""],""553"":[""Packet head RPT""]}",3
"11207","tacho.driver.remaining.shift.driving.duration","number","seconds","[5,14,553]","Tacho Driver remaining driving time on current shift","{""5"":[""Command ID 0x01 with IO ID 860"",""Command ID 0x44 with IO ID 860""],""14"":[""AVL ID 10533""],""553"":[""Packet head RPT""]}",3
"11208","tacho.driver.remaining.ten.hour.driving.times","number","","[5,14]","Tacho Driver remaining 10h driving times. Range 0 to 2","{""5"":[""Command ID 0x01 with IO ID 870"",""Command ID 0x44 with IO ID 870""],""14"":[""AVL ID 10538""]}",2
"11209","tacho.driver.remaining.weekly.driving.duration","number","seconds","[5,14,553]","Tacho Driver remaining driving time of current week","{""5"":[""Command ID 0x01 with IO ID 861"",""Command ID 0x44 with IO ID 861""],""14"":[""AVL ID 10534""],""553"":[""Packet head RPT""]}",3
"11210","tacho.driver.time.overlap.status","boolean","","[5,14]","Tacho Driver time overlap detection status","{""5"":[""Command ID 0x01 with IO ID 870"",""Command ID 0x44 with IO ID 870""],""14"":[""AVL ID 10538""]}",2
"11211","tacho.driver.time.until.next.driving","number","seconds","[5,14,553]","Tacho Driver time left until next driving period","{""5"":[""Command ID 0x01 with IO ID 862"",""Command ID 0x44 with IO ID 862""],""14"":[""AVL ID 10540""],""553"":[""Packet head RPT""]}",3
"11212","tacho.driver.unknown.periods.present.status","boolean","","[5,14]","Tacho Driver unknown periods presence","{""5"":[""Command ID 0x01 with IO ID 870"",""Command ID 0x44 with IO ID 870""],""14"":[""AVL ID 10538""]}",2
"11213","tacho.driver.weekly.rest.calculation.status","boolean","","[5,14]","Tacho Driver weekly rest period calculation status","{""5"":[""Command ID 0x01 with IO ID 870"",""Command ID 0x44 with IO ID 870""],""14"":[""AVL ID 10538""]}",2
"11214","tacho.driver.next.driving.duration","number","seconds","[5,14,553]","Tacho Driver duration of next driving period","{""5"":[""Command ID 0x01 with IO ID 863"",""Command ID 0x44 with IO ID 863""],""14"":[""AVL ID 10541""],""553"":[""Packet head RPT""]}",3
"11215","can.abs.failure.indicator.state","string","","[5,14,556,557,720]","Vehicle parameter for anti-lock brake system failure indicator read from CAN","{""5"":[""Command ID 0x01 with IO ID 313"",""Command ID 0x44 with IO ID 313""],""14"":[""AVL ID 10429""],""556"":[""triggerType.tellTaleInfo.ANTI_LOCK_BRAKE_FAILURE.state"",""uptimeData.tellTaleInfo.ANTI_LOCK_BRAKE_FAILURE.state""],""720"":[""triggerType.tellTaleInfo.ANTI_LOCK_BRAKE_FAILURE.state"",""uptimeData.tellTaleInfo.ANTI_LOCK_BRAKE_FAILURE.state""]}",5
